DB Filename,Space Delim,Cumulative(Space Delim),Downcased,Downcased + rm punct,Cumulative(Dc+rm Punct),!stop-words,Cumulative(!stop-words)
{aristotle1-chapters}-{45.txt},514,514,487,402,402,319,319
{aristotle1-chapters}-{47.txt},558,894,533,420,634,332,539
{aristotle1-chapters}-{57.txt},469,1146,453,370,795,290,697
{aristotle1-chapters}-{58.txt},372,1313,363,304,900,223,799
{aristotle1-chapters}-{71.txt},457,1561,446,372,1055,292,954
{aristotle1-chapters}-{78.txt},406,1746,393,339,1178,260,1077
{aristotle1-chapters}-{90.txt},2563,3659,2439,1878,2446,1769,2335
{aristotle1-chapters}-{91.txt},1166,4280,1121,898,2800,800,2687
{aristotle1-chapters}-{92.txt},1251,4883,1181,983,3188,894,3074
{hume1-chapters}_{3.txt},2239,6231,2125,1501,3906,1395,3788
{hume1-chapters}_{5.txt},3483,7969,3297,2320,4828,2207,4707
{hume2-chapters}_{5.txt},2612,9175,2483,1966,5577,1854,5455
{hume2-chapters}_{6.txt},624,9383,591,545,5706,471,5584
{james1-chapters}_{01.txt},1494,10187,1400,1240,6230,1140,6108
{james1-chapters}_{03.txt},566,10395,545,493,6368,402,6246
{james1-chapters}_{11.txt},929,10727,896,759,6558,656,6434
{james1-chapters}_{12.txt},750,11091,717,629,6786,542,6662
{james1-chapters}_{14.txt},1327,11689,1283,1125,7180,1014,7056
{james1-chapters}_{15.txt},1348,12180,1296,1092,7466,988,7342
{james1-chapters}_{16.txt},4330,14325,4187,3267,8750,3145,8626
{james1-chapters}_{17.txt},5157,16757,4970,3782,10128,3663,10003
{james1-chapters}_{18.txt},532,16892,517,490,10222,417,10097
{james1-chapters}_{19.txt},935,17108,886,719,10313,623,10188
{james1-chapters}_{20.txt},1148,17445,1113,968,10520,868,10395
{james1-chapters}_{22.txt},3568,18868,3459,2812,11389,2694,11264
{james1-chapters}_{23.txt},7124,22184,6771,4978,12997,4859,12872
{kant1-chapters}_{13.txt},420,22242,403,330,13014,270,12889
{kant1-chapters}_{15.txt},438,22309,426,370,13049,307,12924
{kant1-chapters}_{17.txt},1162,22598,1098,871,13172,782,13047
{kant1-chapters}_{22.txt},2063,23079,1957,1428,13373,1319,13248
{kant1-chapters}_{23.txt},693,23182,674,534,13421,455,13296
{kant1-chapters}_{24.txt},2476,23791,2343,1618,13672,1507,13547
{kant1-chapters}_{25.txt},1603,24062,1529,1110,13789,1012,13664
{kant1-chapters}_{26.txt},2072,24465,1984,1437,13972,1332,13847
{kant1-chapters}_{27.txt},502,24520,484,411,13999,337,13874
{kant1-chapters}_{28.txt},527,24570,499,418,14019,345,13894
{kant1-chapters}_{29.txt},1799,24918,1733,1354,14198,1250,14073
{kant1-chapters}_{30.txt},1683,25228,1626,1242,14365,1142,14240
{kant1-chapters}_{31.txt},3640,26213,3488,2569,14930,2453,14805
{kant1-chapters}_{32.txt},450,26247,432,350,14950,287,14825
{kant1-chapters}_{33.txt},606,26305,579,483,14981,406,14856
{kant1-chapters}_{34.txt},1263,26479,1209,940,15092,843,14967
{kant1-chapters}_{35.txt},556,26523,535,433,15116,364,14991
{kant1-chapters}_{36.txt},4176,27554,4044,2956,15692,2839,15567
{kant1-chapters}_{38.txt},1186,27694,1147,929,15765,827,15640
{kant1-chapters}_{39.txt},3106,28247,3011,2255,16062,2140,15937
{kant1-chapters}_{40.txt},1882,28496,1794,1364,16166,1258,16041
{kant1-chapters}_{41.txt},1257,28674,1207,971,16264,873,16139
{kant1-chapters}_{42.txt},504,28725,490,444,16298,367,16173
{locke1-chapters}_{20.txt},418,28764,405,333,16314,256,16189
{locke1-chapters}_{21.txt},1052,28951,1012,828,16397,732,16272
{locke1-chapters}_{24.txt},389,28984,365,305,16407,225,16282
{locke1-chapters}_{26.txt},960,29136,876,665,16442,572,16317
{locke1-chapters}_{27.txt},1621,29407,1492,1120,16516,1017,16391
{locke1-chapters}_{28.txt},1035,29536,980,772,16559,675,16434
{locke1-chapters}_{29.txt},1323,29754,1219,925,16621,820,16496
{locke1-chapters}_{30.txt},705,29847,649,513,16642,420,16517
{locke1-chapters}_{31.txt},424,29879,391,326,16653,251,16528
{locke1-chapters}_{33.txt},981,29988,912,715,16682,625,16557
{locke1-chapters}_{36.txt},1524,30244,1422,1036,16760,929,16635
